mod	dc	prob
0	5	0.9025
0	6	0.9025
0	7	0.9025
0	8	0.9025
0	9	0.9025
0	10	0.9025
0	11	0.9025
0	12	0.9025
0	13	0.9025
0	14	0.81
0	15	0.7225
0	16	0.64
0	17	0.5625
0	18	0.49
0	19	0.4225
0	20	0.36
0	21	0.3025
0	22	0.25
0	23	0.2025
0	24	0.16
0	25	0.1225
1	5	0.9025
1	6	0.9025
1	7	0.9025
1	8	0.9025
1	9	0.9025
1	10	0.9025
1	11	0.9025
1	12	0.9025
1	13	0.81
1	14	0.7225
1	15	0.64
1	16	0.5625
1	17	0.49
1	18	0.4225
1	19	0.36
1	20	0.3025
1	21	0.25
1	22	0.2025
1	23	0.16
1	24	0.1225
1	25	0.09
2	5	0.9025
2	6	0.9025
2	7	0.9025
2	8	0.9025
2	9	0.9025
2	10	0.9025
2	11	0.9025
2	12	0.81
2	13	0.7225
2	14	0.64
2	15	0.5625
2	16	0.49
2	17	0.4225
2	18	0.36
2	19	0.3025
2	20	0.25
2	21	0.2025
2	22	0.16
2	23	0.1225
2	24	0.09
2	25	0.0625
3	5	0.9025
3	6	0.9025
3	7	0.9025
3	8	0.9025
3	9	0.9025
3	10	0.9025
3	11	0.81
3	12	0.7225
3	13	0.64
3	14	0.5625
3	15	0.49
3	16	0.4225
3	17	0.36
3	18	0.3025
3	19	0.25
3	20	0.2025
3	21	0.16
3	22	0.1225
3	23	0.09
3	24	0.0625
3	25	0.04
4	5	0.9025
4	6	0.9025
4	7	0.9025
4	8	0.9025
4	9	0.9025
4	10	0.81
4	11	0.7225
4	12	0.64
4	13	0.5625
4	14	0.49
4	15	0.4225
4	16	0.36
4	17	0.3025
4	18	0.25
4	19	0.2025
4	20	0.16
4	21	0.1225
4	22	0.09
4	23	0.0625
4	24	0.04
4	25	0.0225
5	5	0.9025
5	6	0.9025
5	7	0.9025
5	8	0.9025
5	9	0.81
5	10	0.7225
5	11	0.64
5	12	0.5625
5	13	0.49
5	14	0.4225
5	15	0.36
5	16	0.3025
5	17	0.25
5	18	0.2025
5	19	0.16
5	20	0.1225
5	21	0.09
5	22	0.0625
5	23	0.04
5	24	0.0225
5	25	0.01
6	5	0.9025
6	6	0.9025
6	7	0.9025
6	8	0.81
6	9	0.7225
6	10	0.64
6	11	0.5625
6	12	0.49
6	13	0.4225
6	14	0.36
6	15	0.3025
6	16	0.25
6	17	0.2025
6	18	0.16
6	19	0.1225
6	20	0.09
6	21	0.0625
6	22	0.04
6	23	0.0225
6	24	0.01
6	25	0.0025
7	5	0.9025
7	6	0.9025
7	7	0.81
7	8	0.7225
7	9	0.64
7	10	0.5625
7	11	0.49
7	12	0.4225
7	13	0.36
7	14	0.3025
7	15	0.25
7	16	0.2025
7	17	0.16
7	18	0.1225
7	19	0.09
7	20	0.0625
7	21	0.04
7	22	0.0225
7	23	0.01
7	24	0.0025
7	25	0.0025
8	5	0.9025
8	6	0.81
8	7	0.7225
8	8	0.64
8	9	0.5625
8	10	0.49
8	11	0.4225
8	12	0.36
8	13	0.3025
8	14	0.25
8	15	0.2025
8	16	0.16
8	17	0.1225
8	18	0.09
8	19	0.0625
8	20	0.04
8	21	0.0225
8	22	0.01
8	23	0.0025
8	24	0.0025
8	25	0.0025
9	5	0.81
9	6	0.7225
9	7	0.64
9	8	0.5625
9	9	0.49
9	10	0.4225
9	11	0.36
9	12	0.3025
9	13	0.25
9	14	0.2025
9	15	0.16
9	16	0.1225
9	17	0.09
9	18	0.0625
9	19	0.04
9	20	0.0225
9	21	0.01
9	22	0.0025
9	23	0.0025
9	24	0.0025
9	25	0.0025
10	5	0.7225
10	6	0.64
10	7	0.5625
10	8	0.49
10	9	0.4225
10	10	0.36
10	11	0.3025
10	12	0.25
10	13	0.2025
10	14	0.16
10	15	0.1225
10	16	0.09
10	17	0.0625
10	18	0.04
10	19	0.0225
10	20	0.01
10	21	0.0025
10	22	0.0025
10	23	0.0025
10	24	0.0025
10	25	0.0025
11	5	0.64
11	6	0.5625
11	7	0.49
11	8	0.4225
11	9	0.36
11	10	0.3025
11	11	0.25
11	12	0.2025
11	13	0.16
11	14	0.1225
11	15	0.09
11	16	0.0625
11	17	0.04
11	18	0.0225
11	19	0.01
11	20	0.0025
11	21	0.0025
11	22	0.0025
11	23	0.0025
11	24	0.0025
11	25	0.0025
12	5	0.5625
12	6	0.49
12	7	0.4225
12	8	0.36
12	9	0.3025
12	10	0.25
12	11	0.2025
12	12	0.16
12	13	0.1225
12	14	0.09
12	15	0.0625
12	16	0.04
12	17	0.0225
12	18	0.01
12	19	0.0025
12	20	0.0025
12	21	0.0025
12	22	0.0025
12	23	0.0025
12	24	0.0025
12	25	0.0025
